month,web searches
2010-01,3
2010-02,5
2010-03,4
2010-04,4
2010-05,4
2010-06,4
2010-07,3
2010-08,3
2010-09,5
2010-10,4
2010-11,6
2010-12,5
2011-01,6
2011-02,8
2011-03,6
2011-04,6
2011-05,7
2011-06,8
2011-07,14
2011-08,11
2011-09,11
2011-10,11
2011-11,11
2011-12,11
2012-01,15
2012-02,15
2012-03,15
2012-04,15
2012-05,14
2012-06,13
2012-07,15
2012-08,19
2012-09,21
2012-10,24
2012-11,25
2012-12,28
2013-01,38
2013-02,47
2013-03,53
2013-04,41
2013-05,82
2013-06,49
2013-07,48
2013-08,49
2013-09,43
2013-10,48
2013-11,64
2013-12,55
2014-01,62
2014-02,54
2014-03,53
2014-04,56
2014-05,58
2014-06,44
2014-07,45
2014-08,46
2014-09,53
2014-10,59
2014-11,63
2014-12,61
2015-01,70
2015-02,62
2015-03,64
2015-04,57
2015-05,55
2015-06,53
2015-07,48
2015-08,50
2015-09,56
2015-10,60
2015-11,60
2015-12,57
2016-01,55
2016-02,55
2016-03,54
2016-04,55
2016-05,51
2016-06,49
2016-07,42
2016-08,40
2016-09,48
2016-10,50
2016-11,58
2016-12,58
2017-01,57
2017-02,57
2017-03,64
2017-04,61
2017-05,61
2017-06,51
2017-07,47
2017-08,48
2017-09,53
2017-10,56
2017-11,64
2017-12,62
2018-01,58
2018-02,61
2018-03,62
2018-04,59
2018-05,56
2018-06,52
2018-07,55
2018-08,63
2018-09,59
2018-10,59
2018-11,66
2018-12,66
2019-01,65
2019-02,65
2019-03,62
2019-04,61
2019-05,60
2019-06,54
2019-07,55
2019-08,53
2019-09,58
2019-10,61
2019-11,67
2019-12,71
2020-01,71
2020-02,68
2020-03,73
2020-04,100
2020-05,78
2020-06,68
2020-07,65
2020-08,62
2020-09,65
2020-10,65
2020-11,67
2020-12,80
2021-01,78
2021-02,74
2021-03,69
2021-04,72
2021-05,66
2021-06,61
2021-07,60
2021-08,67
2021-09,61
2021-10,49
2021-11,54
2021-12,61
