Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20212;2290401022;1;DAV Panorama;;München;1119;2-mtl;11;1;673419;663766;679483;;663766;;663766;;;;;;;9653;;;;;7095;6539;;;6539;;6539;;;;;;;556;;;;214;;;;;;;;;;;;;;;;;;550245
20212;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;106466;102228;142444;;43922;;;28949;62941;33992;27862;;1495;4238;;;;;5079;5030;;;1841;;;2388;6235;3847;676;;125;49;;;;209;;;;;;;;;;;;;;;;;;530097
20212;2260101012;6;Eltern;;Hamburg;897;mtl;11;6;137280;79669;150433;;30808;;;5643;23009;17366;27619;538;15061;57611;;;;;22447;5356;;;2120;;;702;3227;2525;2485;4;45;17091;;;;206;;;;;;;;;;;;;;;;;;504565
20212;2260101012;10498;Eltern;davon ePaper;Hamburg;897;mtl;12;10498;6266;6266;;;510;;;40;40;;;538;5178;;;;;;;;;;;;;;;;;;;;;;;206;;;;;;;;;;;;;;;;;;504565
20212;7010501016;7;Eltern Wissen Schwangerschaft;;Hamburg;897;3 x jähr;11;7;270030;;;;;;;;;;;;;270030;;;;;;;;;;;;;;;;;;;;;;206;271000;;Ja;;;;;;;;;;;;;;6 / 2021;
20212;2220901042;10;Echo der Frau;;Ismaning;6329;woe;11;10;113256;112857;178327;;37288;;;66635;129175;62540;8802;;132;399;;;;;11870;11856;;;65;;;11516;24479;12963;183;;92;14;;;;203;;;;;;;;;;;;;;;;;;529817
20212;2240301032;11;Evangelisches Sonntagsblatt aus Bayern;;Rothenburg;1239;woe;11;11;8418;8216;9577;;6298;;;;;;;;1918;202;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;560694
20212;3051001012;12;Top Hair International, Deutsche Ausgabe;;Gaggenau;4382;2 x mtl;11;12;24068;13293;24983;;12630;;;23;23;;;;640;10775;;;;;787;250;;;223;;;;;;;;27;537;;;;302;;;;;;;;;;;;;;;;;;0
20212;2220901082;13;Freizeit Revue;;Offenburg;573;woe;11;13;523689;522064;722423;;97190;2;;378612;573575;194963;44514;;1748;1625;;;;;73634;73532;;;6515;;;63330;105157;41827;3024;;663;102;;;;203;;;;;;;;;;;;;;;;;;552487
20212;2220911022;14;Freundin (klassisches und Pocketformat);;München;3644;14-tgl;11;14;198252;195993;306695;;91074;6;1934;57600;165036;107436;46560;216;543;2259;;;;;8879;8785;;;1577;;;4773;16621;11848;2398;;37;94;;;;204;;;;;;;;;;;;;;;;;;558916
20212;2220911022;10717;Freundin (klassisches und Pocketformat);davon ePaper;München;3644;14-tgl;12;10717;2924;2924;;;2641;;1934;117;117;;;80;86;;;;;;;;;;;;;;;;;;;;;;;204;;;;;;;;;;;;;;;;;;558916
20212;2220911022;11141;Freundin;davon Pocketformat;München;3644;14-tgl;10;11141;;;5714;;;;;;5604;5728;;19;;1;;;;;;;;;;;;;;563;;;;;;;;204;;;;;;;;;;;;;;;;;;558916
20212;2290301022;15;Fisch und Fang;;Singhofen;917;mtl;11;15;32105;31465;62803;;22746;;;7906;38519;30613;58;;755;640;;;;;2155;2126;;;1330;;;796;3612;2816;;;;29;;;;214;;;;;;;;;;;;;;;;;;509793
20212;2290301022;11375;Fisch und Fang;davon ePaper;Singhofen;917;mtl;12;11375;979;979;;;215;;;9;9;;;;755;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;509793
20212;2220901062;16;Frau im Spiegel;;Ismaning;6329;woe;11;16;171130;170846;262246;;19631;;;112306;202130;89824;38586;;323;284;;;;;18218;18185;;;364;;;13461;29378;15917;4171;;189;33;;;;203;;;;;;;;;;;;;;;;;;536402
20212;2220401052;17;Funk Uhr;;Baden-Baden;6921;woe;11;17;291388;289587;389558;;138010;;;150321;245715;95394;1040;;216;1801;;;;;750;747;;;197;;;550;1681;1131;;;;3;;;;202;;;;;;;;;;;;;;;;;;586262
20212;2220901052;18;Frau aktuell;;Ismaning;6329;woe;11;18;90405;89930;154658;;25249;;;52494;114038;61544;11438;;749;475;;;;;8709;8680;;;108;;;8047;19381;11334;432;;93;29;;;;203;;;;;;;;;;;;;;;;;;546870
20212;2230801042;19;fotoMAGAZIN;;Hamburg;904;mtl;11;19;16483;16320;33737;;5036;;;5340;23152;17812;4523;109;1312;163;;;;;1578;1571;;;438;;;1069;3808;2739;;14;50;7;;;;215;;;;;;;;;;;;;;;;;;539029
20212;2230801042;9502;fotoMAGAZIN;davon ePaper;Hamburg;904;mtl;12;9502;1516;1516;;;205;;;119;119;;;109;1083;;;;;;;;;;;;;;;;;;;;;;;215;;;;;;;;;;;;;;;;;;539029
20212;2291101032;20;fliegermagazin;;Hamburg;904;mtl;11;20;13409;13210;18807;;8668;;;1790;7421;5631;2046;;706;199;;;;;1406;1378;;;972;;;363;1342;979;;;43;28;;;;222;;;;;;;;;;;;;;;;;;597907
20212;2291101032;9501;fliegermagazin;davon ePaper;Hamburg;904;mtl;12;9501;960;960;;;452;;;80;80;;;;428;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;597907
20212;2220401032;21;Fernsehwoche;;Hamburg;890;woe;11;21;250243;249662;319111;;113068;;;133645;199725;66080;584;;2365;581;;;;;3484;3476;;;136;;;1040;2212;1172;;;2300;8;;;;202;;;;;;;;;;;;;;;;;;541403
20212;2221501032;25;Geo;;Hamburg;897;mtl;11;25;168145;166368;193803;;122146;;;12044;41112;29068;23407;1527;7244;1777;;;;;23026;22823;;;16734;;;3143;8681;5538;1391;;1555;203;;;;217;;;;;;;;;;VK;;;;;;;;597982
20212;2221501032;25;Geo;;Hamburg;897;mtl;11;25;167555;165778;193803;;121560;;;12040;41108;29068;23407;1527;7244;1777;;;;;23025;22822;;;16734;;;3142;8680;5538;1391;;1555;203;;;;217;;;;;;;;;;;;;;;;;;597982
